Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Start Year,Start Month,Start Day,Start Quarter,CI_Sum
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,12.7,10.9,14.6,10.9 - 14.6,Unknown,2022,3,2,1,25.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,11.4,10.8,11.9,10.8 - 11.9,Unknown,2022,3,2,1,22.700000000000003
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,11.2,9.7,12.8,9.7 - 12.8,Unknown,2022,3,2,1,22.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,5.6,4.3,7.2,4.3 - 7.2,Unknown,2022,3,2,1,11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,17.3,14.2,20.8,14.2 - 20.8,Unknown,2022,3,2,1,35.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,11.7,8.7,15.3,8.7 - 15.3,Unknown,2022,3,2,1,24.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,8.5,7.5,9.6,7.5 - 9.6,Unknown,2022,3,2,1,17.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,14.6,13.7,15.5,13.7 - 15.5,Unknown,2022,3,2,1,29.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,11.2,10.6,11.9,10.6 - 11.9,Unknown,2022,3,2,1,22.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,With disability,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,24.5,22.8,26.2,22.8 - 26.2,Unknown,2022,3,2,1,49.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,Without disability,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,9.5,9.0,10.0,9.0 - 10.0,Unknown,2022,3,2,1,19.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,23.5,22.7,24.2,22.7 - 24.2,Unknown,2022,3,30,1,46.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,27.2,24.7,29.9,24.7 - 29.9,Unknown,2022,3,30,1,54.599999999999994
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,23.6,21.6,25.6,21.6 - 25.6,Unknown,2022,3,30,1,47.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,24.0,22.5,25.5,22.5 - 25.5,Unknown,2022,3,30,1,48.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,24.2,22.8,25.6,22.8 - 25.6,Unknown,2022,3,30,1,48.400000000000006
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,23.0,21.6,24.4,21.6 - 24.4,Unknown,2022,3,30,1,46.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.8,18.2,21.5,18.2 - 21.5,Unknown,2022,3,30,1,39.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,15.4,11.7,19.9,11.7 - 19.9,Unknown,2022,3,30,1,31.599999999999998
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,16.9,15.7,18.0,15.7 - 18.0,Unknown,2022,3,30,1,33.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,29.6,28.6,30.6,28.6 - 30.6,Unknown,2022,3,30,1,59.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender identity,United States,Cis-gender male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,16.4,15.4,17.4,15.4 - 17.4,Unknown,2022,3,30,1,32.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender identity,United States,Cis-gender female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,29.3,28.4,30.3,28.4 - 30.3,Unknown,2022,3,30,1,58.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender identity,United States,Transgender,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,47.4,33.8,61.4,33.8 - 61.4,Unknown,2022,3,30,1,95.19999999999999
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,38.8,33.1,44.8,33.1 - 44.8,Unknown,2022,3,30,1,77.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,21.7,21.0,22.4,21.0 - 22.4,Unknown,2022,3,30,1,43.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,43.1,38.6,47.7,38.6 - 47.7,Unknown,2022,3,30,1,86.30000000000001
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,15.9,15.2,16.7,15.2 - 16.7,Unknown,2022,3,30,1,31.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,40.4,38.8,42.1,38.8 - 42.1,Unknown,2022,3,30,1,80.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.6,17.5,21.8,17.5 - 21.8,Unknown,2022,3,30,1,39.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,26.6,25.8,27.5,25.8 - 27.5,Unknown,2022,3,30,1,53.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,15.9,13.6,18.3,13.6 - 18.3,Unknown,2022,3,30,1,31.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,10.8,8.7,13.2,8.7 - 13.2,Unknown,2022,3,30,1,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,26.1,22.7,29.7,22.7 - 29.7,Unknown,2022,3,30,1,52.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,22.8,18.4,27.6,18.4 - 27.6,Unknown,2022,3,30,1,46.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,22.8,21.2,24.6,21.2 - 24.6,Unknown,2022,3,30,1,45.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,25.8,24.8,26.9,24.8 - 26.9,Unknown,2022,3,30,1,51.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,22.0,21.3,22.8,21.3 - 22.8,Unknown,2022,3,30,1,44.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,With disability,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,45.8,43.4,48.3,43.4 - 48.3,Unknown,2022,3,30,1,91.69999999999999
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,Without disability,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.9,19.1,20.7,19.1 - 20.7,Unknown,2022,3,30,1,39.8
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,10.9,10.5,11.4,10.5 - 11.4,Unknown,2022,3,30,1,21.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,17.0,15.1,19.1,15.1 - 19.1,Unknown,2022,3,30,1,34.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,15.7,14.5,16.9,14.5 - 16.9,Unknown,2022,3,30,1,31.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,12.0,10.8,13.2,10.8 - 13.2,Unknown,2022,3,30,1,24.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,9.6,8.7,10.5,8.7 - 10.5,Unknown,2022,3,30,1,19.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,7.4,6.4,8.5,6.4 - 8.5,Unknown,2022,3,30,1,14.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,4.0,3.3,4.8,3.3 - 4.8,Unknown,2022,3,30,1,8.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,4.8,2.8,7.8,2.8 - 7.8,Unknown,2022,3,30,1,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,8.3,7.6,9.0,7.6 - 9.0,Unknown,2022,3,30,1,16.6
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,13.5,12.8,14.2,12.8 - 14.2,Unknown,2022,3,30,1,27.0
"Received Counseling or Therapy, Last 4 Weeks",By Gender identity,United States,Cis-gender male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,7.9,7.3,8.6,7.3 - 8.6,Unknown,2022,3,30,1,15.899999999999999
"Received Counseling or Therapy, Last 4 Weeks",By Gender identity,United States,Cis-gender female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,13.2,12.5,13.9,12.5 - 13.9,Unknown,2022,3,30,1,26.4
"Received Counseling or Therapy, Last 4 Weeks",By Gender identity,United States,Transgender,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,31.8,22.8,41.8,22.8 - 41.8,Unknown,2022,3,30,1,64.6
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.4,15.7,23.4,15.7 - 23.4,Unknown,2022,3,30,1,39.099999999999994
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,9.5,9.0,10.0,9.0 - 10.0,Unknown,2022,3,30,1,19.0
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,29.7,26.4,33.2,26.4 - 33.2,Unknown,2022,3,30,1,59.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,6.8,6.4,7.3,6.4 - 7.3,Unknown,2022,3,30,1,13.7
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,20.2,19.2,21.3,19.2 - 21.3,Unknown,2022,3,30,1,40.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,10.3,8.8,12.0,8.8 - 12.0,Unknown,2022,3,30,1,20.8
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,11.3,10.8,11.7,10.8 - 11.7,Unknown,2022,3,30,1,22.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,10.1,8.7,11.8,8.7 - 11.8,Unknown,2022,3,30,1,20.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,7.6,6.1,9.4,6.1 - 9.4,Unknown,2022,3,30,1,15.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,15.5,12.3,19.2,12.3 - 19.2,Unknown,2022,3,30,1,31.5
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,8.9,6.6,11.6,6.6 - 11.6,Unknown,2022,3,30,1,18.2
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,6.9,6.1,7.7,6.1 - 7.7,Unknown,2022,3,30,1,13.8
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,12.0,11.1,12.9,11.1 - 12.9,Unknown,2022,3,30,1,24.0
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,14.0,13.4,14.6,13.4 - 14.6,Unknown,2022,3,30,1,28.0
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,20.8,19.3,22.4,19.3 - 22.4,Unknown,2022,3,30,1,41.7
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,9.4,8.9,9.9,8.9 - 9.9,Unknown,2022,3,30,1,18.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,27.1,26.3,27.9,26.3 - 27.9,Unknown,2022,3,30,1,54.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,33.9,31.2,36.6,31.2 - 36.6,Unknown,2022,3,30,1,67.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,29.2,27.3,31.2,27.3 - 31.2,Unknown,2022,3,30,1,58.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,28.0,26.3,29.8,26.3 - 29.8,Unknown,2022,3,30,1,56.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,27.1,25.6,28.5,25.6 - 28.5,Unknown,2022,3,30,1,54.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,24.8,23.4,26.2,23.4 - 26.2,Unknown,2022,3,30,1,49.599999999999994
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,20.9,19.3,22.6,19.3 - 22.6,Unknown,2022,3,30,1,41.900000000000006
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,16.8,12.9,21.3,12.9 - 21.3,Unknown,2022,3,30,1,34.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.9,18.7,21.1,18.7 - 21.1,Unknown,2022,3,30,1,39.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,33.8,32.9,34.7,32.9 - 34.7,Unknown,2022,3,30,1,67.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender identity,United States,Cis-gender male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.4,18.3,20.5,18.3 - 20.5,Unknown,2022,3,30,1,38.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender identity,United States,Cis-gender female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,33.5,32.6,34.4,32.6 - 34.4,Unknown,2022,3,30,1,67.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender identity,United States,Transgender,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,55.7,43.2,67.7,43.2 - 67.7,Unknown,2022,3,30,1,110.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,44.8,39.1,50.5,39.1 - 50.5,Unknown,2022,3,30,1,89.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,25.0,24.2,25.7,24.2 - 25.7,Unknown,2022,3,30,1,49.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,51.9,48.1,55.7,48.1 - 55.7,Unknown,2022,3,30,1,103.80000000000001
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,18.8,18.1,19.6,18.1 - 19.6,Unknown,2022,3,30,1,37.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,45.7,44.0,47.5,44.0 - 47.5,Unknown,2022,3,30,1,91.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,23.2,21.1,25.4,21.1 - 25.4,Unknown,2022,3,30,1,46.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,30.2,29.3,31.1,29.3 - 31.1,Unknown,2022,3,30,1,60.400000000000006
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.4,17.1,22.0,17.1 - 22.0,Unknown,2022,3,30,1,39.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,14.3,12.1,16.8,12.1 - 16.8,Unknown,2022,3,30,1,28.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,32.4,28.8,36.2,28.8 - 36.2,Unknown,2022,3,30,1,65.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,25.0,20.5,30.0,20.5 - 30.0,Unknown,2022,3,30,1,50.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,24.5,22.7,26.3,22.7 - 26.3,Unknown,2022,3,30,1,49.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,29.3,28.2,30.4,28.2 - 30.4,Unknown,2022,3,30,1,58.599999999999994
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,27.8,27.1,28.6,27.1 - 28.6,Unknown,2022,3,30,1,55.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,49.5,47.3,51.8,47.3 - 51.8,Unknown,2022,3,30,1,99.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,23.5,22.7,24.4,22.7 - 24.4,Unknown,2022,3,30,1,47.099999999999994
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,11.5,11.0,11.9,11.0 - 11.9,Unknown,2022,3,30,1,22.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,22.0,20.0,24.2,20.0 - 24.2,Unknown,2022,3,30,1,44.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,16.1,14.9,17.4,14.9 - 17.4,Unknown,2022,3,30,1,32.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,12.1,11.1,13.2,11.1 - 13.2,Unknown,2022,3,30,1,24.299999999999997
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,10.3,9.1,11.7,9.1 - 11.7,Unknown,2022,3,30,1,20.799999999999997
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,5.9,5.3,6.7,5.3 - 6.7,Unknown,2022,3,30,1,12.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,3.3,2.6,4.1,2.6 - 4.1,Unknown,2022,3,30,1,6.699999999999999
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,8.7,8.0,9.6,8.0 - 9.6,Unknown,2022,3,30,1,17.6
